id_order_detail,id_user,id_produk,jumlah_pembelian,subtotal_transaksi,metode_bayar,rating_transaksi,jam_pesanan,waktu_pesanan,nama_produk,kategori_produk,harga_asli_produk,stok_aktual,total_terjual_global,rating_rata_rata_produk,is_organik
50000,1085,163,1,27500,QRIS,2,7,2026-01-05 07:22:57,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50001,1009,163,4,109500,QRIS,3,19,2026-05-04 19:15:23,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50002,1335,160,2,70000,Transfer Bank,4,2,2026-03-11 02:36:11,Jamur Tiram Organik,Jamur,35000,26,48,4.01,1
50003,1322,113,3,89000,QRIS,5,14,2026-02-03 14:22:16,Cabai Rawit,Sayuran,32000,116,61,4.37,0
50004,1089,161,1,42000,QRIS,4,18,2026-05-24 18:35:24,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50005,1276,134,5,80000,QRIS,4,13,2026-04-18 13:48:38,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50006,1095,100,1,8000,COD,4,20,2026-06-13 20:58:18,Bayam Hijau Segar,Sayuran,8000,83,75,4.15,0
50007,1176,118,1,8000,Transfer Bank,3,21,2026-04-19 21:57:46,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50008,1143,116,1,7000,QRIS,3,9,2026-06-26 09:04:34,Jagung Manis,Sayuran,7000,114,80,3.83,0
50009,1214,161,2,84000,COD,2,16,2026-06-07 16:45:12,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50010,1167,156,1,15000,Transfer Bank,2,18,2026-04-17 18:06:24,Talas Bogor,Umbi-umbian,16000,66,76,3.9,0
50011,1300,164,3,75000,QRIS,4,10,2026-06-03 10:44:12,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50012,1241,119,2,19500,QRIS,4,5,2026-01-06 05:52:05,Pakcoy Organik,Sayuran,11000,53,65,4.52,1
50013,1057,164,1,25000,QRIS,5,21,2026-05-04 21:34:18,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50014,1019,133,1,34000,QRIS,4,7,2026-05-08 07:57:27,Alpukat Organik,Buah-buahan,40000,25,42,4.23,1
50015,1163,118,2,13500,Transfer Bank,3,10,2026-01-09 10:32:52,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50016,1211,160,2,60000,QRIS,4,9,2026-05-23 09:55:32,Jamur Tiram Organik,Jamur,35000,26,48,4.01,1
50017,1373,149,3,96000,QRIS,4,22,2026-03-17 22:12:32,Bawang Putih,Rempah,32000,41,58,4.07,0
50018,1097,132,1,28000,QRIS,4,7,2026-02-10 07:18:16,Alpukat Mentega,Buah-buahan,32000,117,55,4.0,0
50019,1084,106,2,24000,COD,3,7,2026-04-08 07:38:25,Wortel Baby,Sayuran,12000,103,70,4.11,0
50020,1249,144,2,36000,QRIS,4,17,2026-05-21 17:13:01,Temulawak Segar,Rempah,18000,70,66,4.23,0
50021,1074,117,1,9000,QRIS,5,7,2026-04-25 07:37:32,Jagung Manis Organik,Sayuran,9000,11,72,4.35,1
50022,1471,110,4,64000,QRIS,3,9,2026-02-13 09:42:42,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50023,1239,117,1,9000,QRIS,5,13,2026-04-24 13:24:02,Jagung Manis Organik,Sayuran,9000,11,72,4.35,1
50024,1351,149,2,60500,QRIS,3,15,2026-02-14 15:33:48,Bawang Putih,Rempah,32000,41,58,4.07,0
50025,1077,119,1,11000,QRIS,4,9,2026-01-26 09:35:00,Pakcoy Organik,Sayuran,11000,53,65,4.52,1
50026,1007,163,2,64000,QRIS,5,8,2026-06-27 08:55:50,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50027,1006,106,2,20500,Transfer Bank,3,18,2026-03-15 18:24:54,Wortel Baby,Sayuran,12000,103,70,4.11,0
50028,1484,127,1,25000,Transfer Bank,2,13,2026-02-03 13:40:44,Mangga Harum Manis,Buah-buahan,28000,74,56,3.8,0
50029,1145,125,1,18000,Transfer Bank,3,13,2026-03-10 13:40:36,Pisang Raja,Buah-buahan,18000,58,77,4.26,0
50030,1005,161,4,168000,QRIS,3,14,2026-06-11 14:29:30,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50031,1151,114,4,36000,QRIS,2,6,2026-02-20 06:27:10,Terong Ungu,Sayuran,9000,91,76,4.02,0
50032,1003,149,1,32000,QRIS,2,22,2026-05-12 22:04:05,Bawang Putih,Rempah,32000,41,58,4.07,0
50033,1409,102,1,8000,QRIS,5,11,2026-05-11 11:35:12,Sawi Hijau,Sayuran,8500,47,81,4.01,0
50034,1490,115,2,20000,QRIS,5,10,2026-03-17 10:04:43,Buncis Segar,Sayuran,10000,69,68,4.26,0
50035,1433,162,1,49000,COD,5,16,2026-03-09 16:36:13,Jamur Shiitake Organik,Jamur,52000,59,30,4.67,1
50036,1315,157,1,18000,Transfer Bank,3,7,2026-06-19 07:37:32,Kentang Granola,Umbi-umbian,18000,73,74,4.01,0
50037,1022,127,1,28000,QRIS,3,13,2026-03-07 13:50:05,Mangga Harum Manis,Buah-buahan,28000,74,56,3.8,0
50038,1133,134,1,14000,Transfer Bank,3,16,2026-05-06 16:56:32,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50039,1484,110,3,48000,QRIS,4,7,2026-05-15 07:35:44,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50040,1215,144,2,36000,QRIS,4,12,2026-04-04 12:25:42,Temulawak Segar,Rempah,18000,70,66,4.23,0
50041,1282,160,1,35000,COD,3,8,2026-05-08 08:17:24,Jamur Tiram Organik,Jamur,35000,26,48,4.01,1
50042,1480,122,1,8000,COD,4,19,2026-04-26 19:08:53,Kol Putih,Sayuran,8000,118,72,4.54,0
50043,1050,141,2,56000,COD,4,20,2026-06-23 20:56:00,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50044,1318,100,1,8000,Transfer Bank,4,8,2026-03-20 08:24:25,Bayam Hijau Segar,Sayuran,8000,83,75,4.15,0
50045,1074,159,4,112000,QRIS,4,12,2026-03-19 12:53:23,Jamur Tiram Putih,Jamur,28000,64,51,4.07,0
